Reactant,R_SinglePointEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster0_mol468_,-711.2731703,0.135525,-711.1376452999999,cluster0_mol468_minus2Li,-696.1613405,0.140717,-696.0206235,0.5499458667127237
cluster10_mol145_,-548.7922634,0.13136,-548.6609034,cluster10_mol145_minus2Li,-533.5817478,0.128654,-533.4530938,1.7851812343885975
cluster11_mol13_,-586.6126408,0.123147,-586.4894938,cluster11_mol13_minus2Li,-571.5280597,0.12954,-571.3985197,0.19554758537607997
cluster1_mol554_,-572.7291849,0.121664,-572.6075208999999,cluster1_mol554_minus2Li,-557.6164201,0.124417,-557.4920031,0.529482831008312
cluster2_mol490_,-686.1410794,0.130223,-686.0108564,cluster2_mol490_minus2Li,-670.9262932,0.13172,-670.7945732000001,1.9004708483167052
cluster3_mol518_,-651.3556129,0.173679,-651.1819339,cluster3_mol518_minus2Li,-636.206563,0.176564,-636.029999,1.0249644916306018
cluster4_mol226_,-607.5886954,0.077591,-607.5111044,cluster4_mol226_minus2Li,-592.3354482,0.07802,-592.2574281999999,2.409230352387133
cluster5_mol264_,-686.0486516,0.123897,-685.9247545999999,cluster5_mol264_minus2Li,-670.8960832,0.124932,-670.7711512000001,1.0476656718634678
cluster6_mol180_,-586.8900825,0.135486,-586.7545964999999,cluster6_mol180_minus2Li,-571.7040351,0.137641,-571.5663941,1.518410733272944
cluster7_mol342_,-660.9732867,0.119578,-660.8537087,cluster7_mol342_minus2Li,-645.7124656,0.118183,-645.5942825999999,2.4874620073069775
cluster8_mol56_,-1041.9767969,0.059142,-1041.9176549,cluster8_mol56_minus2Li,-1026.688002,0.059161,-1026.6288410000002,2.887304826913081
cluster9_mol102_,-473.4782277,0.128577,-473.3496507,cluster9_mol102_minus2Li,-458.3685399,0.134044,-458.23449589999996,0.524543946728196
cluster9_mol104_,-394.8587631,0.075202,-394.7835611,cluster9_mol104_minus2Li,-379.7676543,0.082649,-379.6850053,0.2987022381718907
cluster9_mol111_,-793.2078268,0.075763,-793.1320638,cluster9_mol111_minus2Li,-777.951413,0.079085,-777.872328,2.4916757055487153
cluster9_mol153_,-473.4782323,0.129139,-473.3490933,cluster9_mol153_minus2Li,-458.3685396,0.134141,-458.2343986,0.5182839449136969
cluster9_mol154_,-473.4783415,0.128585,-473.3497565,cluster9_mol154_minus2Li,-458.3685381,0.134156,-458.2343821,0.5275317676327267
cluster9_mol155_,-508.2167124,0.086695,-508.1300174,cluster9_mol155_minus2Li,-493.075426,0.087669,-492.987757,0.893335742343691
cluster9_mol156_,-472.2498826,0.107495,-472.1423876,cluster9_mol156_minus2Li,-457.1403311,0.113186,-457.02714510000004,0.5257371702854152
cluster9_mol157_,-753.7332917,0.049342,-753.6839497,cluster9_mol157_minus2Li,-738.6787815,0.056477,-738.6223045,-0.20349385604117498
cluster9_mol159_,-432.9559686,0.079205,-432.8767636,cluster9_mol159_minus2Li,-417.9086769,0.088415,-417.8202619,-0.2734749891169579
cluster9_mol160_,-420.4343765,0.088683,-420.3456935,cluster9_mol160_minus2Li,-405.2421011,0.089662,-405.15243910000004,1.5871469409748684
cluster9_mol179_,-434.1765787,0.101091,-434.0754877,cluster9_mol179_minus2Li,-419.0795965,0.107293,-418.97230349999995,0.361675053636227
cluster9_mol195_,-533.4415711,0.09731,-533.3442611,cluster9_mol195_minus2Li,-518.3135573,0.099691,-518.2138663,0.7318954521436232
cluster9_mol196_,-494.2976867,0.071658,-494.2260287,cluster9_mol196_minus2Li,-479.0041352,0.073946,-478.93018920000003,2.982893326682477
cluster9_mol212_,-472.3555523,0.111258,-472.2442943,cluster9_mol212_minus2Li,-457.1416387,0.110525,-457.0311137,1.8582576737318415
cluster9_mol227_,-852.9789269,0.040237,-852.9386899,cluster9_mol227_minus2Li,-837.922235,0.046951,-837.875284,-0.17953822640839112
