Reactant,R_SinglePointEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster0_mol468_,-710.526746,0.142729,-710.384017,cluster0_mol468_minus2Li,-695.4182799,0.147139,-695.2711409,0.573540542829988
cluster10_mol145_,-548.2266371,0.138478,-548.0881591,cluster10_mol145_minus2Li,-533.0195723,0.135463,-532.8841093000001,1.814026366272677
cluster11_mol13_,-586.0265657,0.130475,-585.8960907,cluster11_mol13_minus2Li,-570.9472341,0.136478,-570.8107560999999,0.19881800435272368
cluster1_mol554_,-572.1377401,0.128458,-572.0092821,cluster1_mol554_minus2Li,-557.0273497,0.13018,-556.8971697,0.5631498377982112
cluster2_mol490_,-685.4304605,0.137999,-685.2924615,cluster2_mol490_minus2Li,-670.2153858,0.137459,-670.0779268,1.9566812087359342
cluster3_mol518_,-650.6828902,0.181712,-650.5011782,cluster3_mol518_minus2Li,-635.5367648,0.183788,-635.3529768,1.0541674545270283
cluster4_mol226_,-606.9584852,0.083526,-606.8749592,cluster4_mol226_minus2Li,-591.7066408,0.08267,-591.6239707999999,2.4526608395096243
cluster5_mol264_,-685.3286494,0.130988,-685.1976614,cluster5_mol264_minus2Li,-670.1849802,0.130791,-670.0541892,0.9898231802869308
cluster6_mol180_,-586.2863734,0.14141,-586.1449634,cluster6_mol180_minus2Li,-571.1048655,0.144779,-570.9600865,1.553164838835486
cluster7_mol342_,-660.2901033,0.126473,-660.1636303,cluster7_mol342_minus2Li,-645.0299642,0.123486,-644.9064782,2.536522550395805
cluster8_mol56_,-1041.2094565,0.063837,-1041.1456195,cluster8_mol56_minus2Li,-1025.9371896,0.061517,-1025.8756726,2.710605295904082
cluster9_mol100_,-854.0637698,0.070674,-853.9930958,cluster9_mol100_minus2Li,-838.6992936,0.070471,-838.6288226,3.993984581021947
cluster9_mol102_,-472.9973054,0.135671,-472.8616344,cluster9_mol102_minus2Li,-457.8909693,0.139988,-457.7509813,0.5432949787540136
cluster9_mol104_,-394.4600368,0.081069,-394.3789678,cluster9_mol104_minus2Li,-379.3720263,0.086931,-379.2850953,0.3149824674820021
cluster9_mol111_,-792.6756827,0.081014,-792.5946687,cluster9_mol111_minus2Li,-777.4209032,0.083367,-777.3375362,2.536255877856396
cluster9_mol113_,-469.7602413,0.086135,-469.6741063,cluster9_mol113_minus2Li,-454.5030771,0.089987,-454.4130901,2.5890964973837542
cluster9_mol153_,-472.9972235,0.13489,-472.86233350000003,cluster9_mol153_minus2Li,-457.8909688,0.140016,-457.7509528,0.5531945165060601
cluster9_mol154_,-472.9973508,0.135022,-472.8623288,cluster9_mol154_minus2Li,-457.8909649,0.140051,-457.75091389999994,0.5536598328766975
cluster9_mol155_,-507.6951682,0.091841,-507.6033272,cluster9_mol155_minus2Li,-492.5576556,0.092626,-492.4650296,0.9194189086395979
cluster9_mol156_,-471.7713498,0.113035,-471.65831479999997,cluster9_mol156_minus2Li,-456.6668108,0.118573,-456.5482378,0.5354567108879142
cluster9_mol157_,-753.232096,0.052657,-753.179439,cluster9_mol157_minus2Li,-738.1833459,0.060198,-738.1231478999999,-0.1963403583453711
cluster9_mol159_,-432.5197006,0.085903,-432.43379760000005,cluster9_mol159_minus2Li,-417.4797825,0.0933,-417.3864825,-0.3184654969674303
cluster9_mol160_,-420.0103132,0.094566,-419.9157472,cluster9_mol160_minus2Li,-404.8206633,0.094749,-404.7259143,1.6205948953208533
cluster9_mol162_,-380.7360917,0.069155,-380.66693669999995,cluster9_mol162_minus2Li,-365.5339848,0.069601,-365.4643838,1.7936599313360622
cluster9_mol163_,-2967.9136047,0.068787,-2967.8448177,cluster9_mol163_minus2Li,-2952.6796276,0.074209,-2952.6054186,2.29497981577115
cluster9_mol178_,-469.5003433,0.083499,-469.4168443,cluster9_mol178_minus2Li,-454.4175847,0.088666,-454.32891870000003,0.23407048142163522
cluster9_mol179_,-433.7368559,0.108122,-433.62873390000004,cluster9_mol179_minus2Li,-418.6428741,0.112326,-418.5305481,0.3736681136976925
cluster9_mol195_,-532.8609144,0.099512,-532.7614024,cluster9_mol195_minus2Li,-517.7642253,0.10477,-517.6594553,0.4248433904224318
cluster9_mol196_,-493.7826965,0.076444,-493.7062525,cluster9_mol196_minus2Li,-478.4973596,0.078293,-478.4190666,2.9451546792250625
cluster9_mol212_,-471.8802488,0.117386,-471.7628628,cluster9_mol212_minus2Li,-456.669673,0.115999,-456.553674,1.8839462735142682
cluster9_mol227_,-852.3667034,0.043007,-852.3236964,cluster9_mol227_minus2Li,-837.3147928,0.050578,-837.2642148,-0.1529312390527653
cluster9_mol247_,-532.8611216,0.099912,-532.7612096,cluster9_mol247_minus2Li,-517.7560104,0.104664,-517.6513464000001,0.5325478032843785
cluster9_mol248_,-532.8900966,0.102359,-532.7877376,cluster9_mol248_minus2Li,-517.7521151,0.104906,-517.6472090999999,0.9497719580769572
cluster9_mol258_,-493.5151936,0.069292,-493.44590159999996,cluster9_mol258_minus2Li,-478.4041164,0.073789,-478.33032740000004,0.6102501948480974
cluster9_mol262_,-493.6179222,0.073595,-493.5443272,cluster9_mol262_minus2Li,-478.5002036,0.077623,-478.4225806,0.6942302756907976
cluster9_mol291_,-531.6540785,0.076851,-531.5772274999999,cluster9_mol291_minus2Li,-516.6115603,0.083693,-516.5278672999999,-0.2906403943619176
cluster9_mol307_,-532.8607536,0.096682,-532.7640716,cluster9_mol307_minus2Li,-517.7749592,0.102934,-517.6720252,0.29013702233408845
cluster9_mol313_,-553.3778966,0.034917,-553.3429796,cluster9_mol313_minus2Li,-538.256999,0.038907,-538.218092,0.7369659107639854
cluster9_mol32_,-507.7499803,0.092709,-507.6572713,cluster9_mol32_minus2Li,-492.5682666,0.092346,-492.4759206,1.5051882720114882
cluster9_mol331_,-532.890075,0.100057,-532.790018,cluster9_mol331_minus2Li,-517.768884,0.103932,-517.664952,0.7393931751053426
cluster9_mol34_,-433.7267516,0.109456,-433.6172956,cluster9_mol34_minus2Li,-418.6232902,0.114217,-418.5090732,0.5102235020989632
cluster9_mol353_,-854.0637697,0.070673,-853.9930966999999,cluster9_mol353_minus2Li,-838.6992925,0.070473,-838.6288195,3.994039003989111
