Reactant,R_SinglePointEnergy,R_Solv,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_solv,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster0_mol468_,-710.5267222,-0.05600990000004913,0.135525,-710.4472071,cluster0_mol468_minus2Li,-695.4185659,-0.010936099999980797,0.140717,0.140717,2.5780136614501044
cluster10_mol145_,-548.2275869,-0.04023749999998927,0.13136,-548.1364644,cluster10_mol145_minus2Li,-533.0204338,-0.01409220000005007,0.128654,0.128654,3.5599441306930104
cluster11_mol13_,-586.0270607,-0.06541349999997692,0.123147,-585.9693272,cluster11_mol13_minus2Li,-570.9479181,-0.009880599999974038,0.12954,0.12954,2.3419050601118534
cluster1_mol554_,-572.1373208,-0.05515000000002601,0.121664,-572.0708068,cluster1_mol554_minus2Li,-557.0275544,-0.013548600000035549,0.124417,0.124417,2.519491284136677
cluster2_mol490_,-685.4304269,-0.04018699999994624,0.130223,-685.3403909,cluster2_mol490_minus2Li,-670.2160043,-0.01850369999999657,0.13172,0.13172,3.655327183757961
cluster3_mol518_,-650.6836385,-0.03342049999992014,0.173679,-650.54338,cluster3_mol518_minus2Li,-635.5376418,-0.011404400000060377,0.176564,0.176564,2.747754814736385
cluster4_mol101_,-567.6899108,-0.04219030000001567,0.05391,-567.6781911,cluster4_mol101_minus2Li,-552.4347102,-0.01798550000000887,0.053533,0.053533,4.218951841736693
cluster4_mol108_,-1250.9247596,-0.03490549999992254,0.047868,-1250.9117970999998,cluster4_mol108_minus2Li,-1235.6475686,-0.015342699999791876,0.0479,0.0479,4.460554441621824
cluster4_mol10_,-1250.9226902,-0.03619299999991199,0.047857,-1250.9110262,cluster4_mol10_minus2Li,-1235.6503697,-0.015136799999936557,0.048171,0.048171,4.418443310097299
cluster4_mol112_,-543.6958273,-0.04967090000002372,0.065613,-543.6798852000001,cluster4_mol112_minus2Li,-528.4460557,-0.03055359999996199,0.065395,0.065395,4.078030370783463
