Molecule,Cluster,data,Cluster_center,Distance_to_center
0,7,[-0.6036922614453484 -0.5447415052210424 -0.3620322099212166  0.1039514290673548 -0.0522301023315507  0.0622649513570348],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.2307758888742021
1,4,[-0.0785377302331723 -0.2853653711080347 -0.2690604507750231 -0.1049905842959335  0.1103492098911259  0.2669404837005111],[ 0.2318913624834497 -0.502880669440364  -0.2459859001618044  0.0327194305053757  0.0956359846867003  0.0455251660129424],0.4608870052178183
2,7,[-0.8597519710584571 -0.781573860292818   0.1197294522830037  0.5069744307901995  0.2428756467795799  0.2126864502409292],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.7114614841562877
3,7,[-7.733816109266710e-01 -7.232147897285648e-01 -2.551845209906479e-01  3.458247284667217e-01  3.161252233327000e-04  4.780071267189580e-02],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.39288972299146385
4,11,[-1.0333822148099872 -0.7041944500618167  0.5167150156031697 -0.2443260953133742  0.6968480655345027  0.1038929359566598],[-0.3925483810268006 -0.5577221881150141  0.2101125951811516 -0.475015361417741   0.6394530459503553 -0.0207618674442524],0.773419495506459
5,5,[-0.0417658924544052  1.072629469567724  -0.4277959319483939  0.0470193333426174  0.0262749146289936  0.1062298685240634],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.4740972795972046
6,7,[-0.7204642339407358 -0.4795251182678925 -0.4468710446730438  0.1625869922403476  0.0308504400319274 -0.069364199973116 ],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.26110697536866084
7,3,[-0.1614338095983088  0.4807443538381871  0.1814084339459617 -0.0794188015298214  0.084023945869813  -0.2469443766100574],[-0.1805278618656835  0.3700275025803318  0.2205971826750172 -0.2147626700768268  0.0611885440545909 -0.1351215955271372],0.21331271577157038
8,7,[-0.4760780284989061 -0.3006249401703776 -0.3350947592046128 -0.0699976381251693  0.0912643155542383 -0.0144144131104799],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.3163430466249773
9,8,[-0.3175209527504151 -0.0424284337046208 -0.4815551723294241 -0.2358168819951706  0.1114749623197494  0.019673632314142 ],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.19045183808365634
