molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g),total_score
101,[Li]n1c(=O)n([Li])c2cc(F)ccc21,0.5319092585206175,0.6357208776525204,1.0,0.6785714285714287,0.8985779132140106,3.7447794779585775
192,[Li]n1c(=O)n([Li])c2cc(F)c(F)cc21,0.6537272698457,0.5715986349176942,1.0,1.0,0.49371262303439384,3.719038527797788
33,[Li]n1c(=O)n([Li])c2cc(C)ccc21,0.5385117578172287,0.6794116369189699,1.0,0.2556390977443609,1.0,3.4735624924805597
206,[Li]n1c(=O)n([Li])c2c(F)cccc21,0.4329730596818939,0.4605690411116539,1.0,0.6785714285714287,0.8985779132140106,3.470691442578987
244,[Li]n1c(=O)n([Li])c2c(F)c(F)ccc21,0.44256605018011047,0.46644805311674253,1.0,1.0,0.49371262303439384,3.4027267263312466
204,[Li]n1c(=O)n([Li])c2c(F)cc(F)cc21,0.3956604615847819,0.4623706242654326,1.0,1.0,0.49371262303439384,3.3517437088846083
112,[Li]n1c(=O)n([Li])c2cc(O)ccc21,0.4849161768085921,0.590269923114945,1.0,0.3193277310924371,0.9489118375373613,3.3434256685533352
62,[Li]n1c(=O)n([Li])c2c(O)cccc21,0.5146588663369236,0.44360223162349927,1.0,0.3193277310924371,0.9489118375373613,3.226500666590221
27,[Li]n1c(=O)n([Li])c2cc(OC)ccc21,0.5480653442943689,0.7586414369269961,1.0,0.22857142857142884,0.6185456445357004,3.153823854328494
365,[Li]N1C(=O)CCC(=O)N([Li])c2ccccc21,0.7859963020055878,1.0,1.0,0.14285714285714296,0.12688670691487058,3.055740151777601
31,[Li]n1c(=S)n([Li])c2ccccc21,0.8646348891856765,0.8712149211660289,0.0,0.3571428571428573,0.9471467811260046,3.0401394486205673
256,[Li]n1c(=O)n([Li])c2cc(F)c(C)cc21,0.5184305697191265,0.4124816823501911,1.0,0.5263157894736841,0.5758725750932341,3.0331006166362355
150,[Li]n1ccc2ccc3ccn([Li])c3c21,0.5189132870301776,0.4728176251988741,1.0,0.22857142857142884,0.799633843769157,3.0199361845696373
