Molecule,Cluster
0,0
1,1
2,0
3,0
4,2
5,3
6,0
7,4
8,0
9,5
10,1
11,2
12,6
13,2
14,1
15,1
16,1
17,0
18,7
19,4
20,7
21,6
22,1
23,6
24,1
25,1
26,1
27,1
28,8
29,8
30,1
31,9
32,9
33,1
34,9
35,9
36,0
37,4
38,6
39,7
40,1
41,1
42,8
43,8
44,9
45,9
46,9
47,0
48,4
49,1
50,1
51,7
52,4
53,6
54,8
55,8
56,5
57,0
58,7
59,5
60,1
61,6
62,9
63,9
64,10
65,7
66,2
67,7
68,10
69,10
70,10
71,0
72,4
73,7
74,10
75,0
76,4
77,1
78,4
79,6
80,8
81,6
82,6
83,1
84,7
85,1
86,1
87,6
88,1
89,6
90,8
91,1
92,11
93,6
94,8
95,8
96,8
97,1
98,1
99,1
100,9
101,1
102,9
103,9
104,9
105,9
106,5
107,7
108,1
109,2
110,8
111,9
112,1
113,9
114,5
115,3
116,1
117,7
118,6
119,5
120,1
121,1
122,8
123,3
124,2
125,5
126,3
127,10
128,5
129,10
130,7
131,2
132,6
133,6
134,9
135,1
136,6
137,1
138,7
139,1
140,10
141,2
142,1
143,4
144,6
145,11
146,11
147,6
148,6
149,8
150,2
151,1
152,11
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,9
162,9
163,9
164,10
165,5
166,10
167,10
168,0
169,4
170,1
171,11
172,6
173,11
174,1
175,8
176,8
177,8
178,9
179,9
180,6
181,6
182,8
183,8
184,0
185,5
186,10
187,1
188,1
189,6
190,6
191,6
192,1
193,1
194,11
195,9
196,9
197,0
198,0
199,10
200,5
201,0
202,5
203,7
204,1
205,1
206,9
207,0
208,10
209,10
210,1
211,6
212,9
213,6
214,5
215,0
216,6
217,0
218,4
219,10
220,10
221,10
222,3
223,11
224,6
225,6
226,1
227,9
228,11
229,11
230,11
231,11
232,4
233,1
234,11
235,9
236,7
237,10
238,0
239,5
240,10
241,10
242,6
243,7
244,1
245,8
246,8
247,9
248,9
249,5
250,0
251,0
252,3
253,3
254,7
255,4
256,1
257,1
258,9
259,10
260,0
261,7
262,9
263,3
264,3
265,11
266,6
267,9
268,5
269,11
270,6
271,6
272,6
273,6
274,0
275,5
276,1
277,3
278,3
279,1
280,5
281,5
282,1
283,1
284,1
285,0
286,4
287,3
288,11
289,6
290,0
291,9
292,3
293,8
294,3
295,5
296,5
297,6
298,11
299,11
300,11
301,3
302,9
303,6
304,4
305,4
306,4
307,9
308,3
309,3
310,6
311,3
312,8
313,9
314,4
315,3
316,6
317,7
318,3
319,10
320,1
321,5
322,11
323,5
324,5
325,6
326,5
327,3
328,3
329,3
330,8
331,9
332,1
333,10
334,0
335,1
336,10
337,0
338,10
339,10
340,0
341,7
342,0
343,3
344,6
345,8
346,1
347,4
348,1
349,1
350,8
351,8
352,6
353,9
354,9
355,9
356,4
357,10
358,10
359,3
360,5
361,5
362,3
363,10
364,4
365,7
366,5
367,4
368,0
369,7
370,4
371,3
372,9
373,2
374,3
375,8
376,8
377,8
378,9
379,9
380,9
381,9
382,9
383,9
384,1
385,3
386,5
387,5
388,0
389,4
390,4
391,0
392,4
393,9
394,11
395,8
396,9
397,5
398,7
399,5
400,11
401,9
402,9
403,10
404,0
405,6
406,10
407,10
408,4
409,10
410,7
411,10
412,10
413,10
414,10
415,10
416,10
417,10
418,10
419,4
420,10
421,10
422,4
423,10
424,4
425,10
426,4
427,4
428,4
429,10
430,10
431,10
432,4
433,4
434,7
435,10
436,7
437,10
438,10
439,10
440,4
441,4
442,4
443,4
444,6
445,6
446,6
447,6
448,6
449,7
450,4
451,7
452,4
453,6
454,6
455,4
456,4
457,6
458,6
459,6
460,6
461,7
462,4
463,4
464,4
465,8
466,8
467,8
468,10
469,10
470,5
471,4
472,10
473,4
474,4
475,4
476,4
477,8
478,10
479,10
480,10
481,10
482,10
483,10
484,10
485,10
486,10
487,10
488,10
489,7
490,7
491,4
492,4
493,7
494,7
495,6
496,7
497,6
498,7
499,7
500,10
501,10
502,0
503,5
504,6
505,7
506,1
507,1
508,6
509,6
510,6
511,6
512,10
513,10
514,10
515,10
516,10
517,4
518,4
519,10
520,10
521,4
522,6
523,8
524,10
525,10
526,10
527,4
528,4
529,4
530,4
531,10
532,4
533,4
534,4
535,4
536,7
537,4
538,8
539,10
540,7
541,10
542,4
543,4
544,7
545,6
546,8
547,0
548,0
549,7
550,7
551,8
552,8
553,5
554,8
555,0
556,5
557,5
558,0
559,0
560,0
561,10
562,10
563,3
564,0
565,3
566,3
567,4
568,10
569,4
570,7
571,7
572,4
573,4
574,1
575,1
576,7
577,1
578,1
579,1
580,1
581,1
582,3
583,3
584,8
