Molecule,Cluster,data,Cluster_center,Distance_to_center
468,0,[-0.503040913201817   0.0733619162516781  0.3785921061089783  0.0212643813448045 -0.083077044585022  -0.0656118827107393],[-0.4800995273776051 -0.0347354484496296  0.3389326096056139  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.14590142041109977
554,1,[ 0.5272358605970161  0.1819774478489328  0.106154853480774  -0.1716291786087066 -0.0472020111339745  0.0806172799929769],[ 0.4045635053699478  0.1633122351693822  0.0620768454071855 -0.1715150059594981 -0.0463642443932943  0.0173034384598071],0.1461133981373959
490,2,[-0.2834904843515773  0.1934300324535145  0.0212062390890339 -0.2029462584356505 -0.1793789865753897  0.0961111285095824],[-0.3131634177773259  0.2059485104194075 -0.051322571857888  -0.1428040027980442 -0.1984517697672429  0.0684714651178524],0.10508299886430993
518,3,[-0.1357122382066146  0.4254426001071455  0.2669618087315563 -0.2149851471352138  0.0396353826944616 -0.088271591869903 ],[-0.1805278618656835  0.3700275025803318  0.2205971826750173 -0.2147626700768269  0.061188544054591  -0.1351215955271372],0.09944075025139543
226,4,[ 0.2685454239110486 -0.4341233987861392 -0.2624342645504614 -0.0042790593218663  0.0736298250005146 -0.014730899636898 ],[ 0.2318913624834497 -0.502880669440364  -0.2459859001618045  0.0327194305053758  0.0956359846867003  0.0455251660129425],0.10874550077702932
264,5,[-0.1668406263790255  0.8942297622200401 -0.146226278965938   0.2910624714229113  0.1119436851495091  0.0315023795067294],[-0.1723757427428503  0.762894166472294  -0.2151388624847023  0.2893620945322308  0.0879378683088307  0.0428423571746735],0.15078589459254854
180,6,[ 0.0118371541819644 -0.1351885459159109  0.1964694400006237 -0.0177564629382098 -0.1270365482461212  0.0447776815742877],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781139 -0.0072239614691663],0.09260470926983633
342,7,[-6.1897825103119275e-01 -4.0117468335460871e-01 -2.5246859330681837e-01  1.1424405873568153e-01  1.4834999385444786e-01  2.1670907885524741e-04],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557334  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.10364744425966414
56,8,[-0.2353853174984315 -0.049223455545167  -0.6649282333443759 -0.2378311088883855 -0.0269955208448443  0.1018746159085272],[-0.2072538130265835  0.0132884858134406 -0.6015257863188354 -0.1686197451880604  0.0739059383068204 -0.0065723278441814],0.188284496384049
196,9,[ 1.072054580907159  -0.3831749278379352  0.1836482954316443  0.1228395122658231 -0.152216728344424  -0.0245648229699052],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.25071444264600434
145,10,[ 0.5444335994936724  0.522323970468622  -0.0504014247703393  0.3865010174972829  0.0852553358907441 -0.0644274317903724],[ 0.6985313220607818  0.5837756918733803 -0.0715880076418491  0.422780333262067   0.1174169186465211  0.0030208012292998],0.18673808865076993
13,11,[-0.2676126559944672 -0.5367543948750024  0.3094294716443443 -0.5852901121568951  0.6653125984662878  0.0925346125568195],[-0.3925483810268006 -0.5577221881150141  0.2101125951811515 -0.475015361417741   0.6394530459503553 -0.0207618674442524],0.22710736487541727
