molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g)
468,[Li]N1CC(C)(C)N([Li])c2cc(F)c(F)cc21,2.4749109949328734,2.398539987132117,2.5780136614501044,0.15384615384615385,255.1913591412453
145,[Li]N(C)c1ccccc1N([Li])C(C)=O,3.133937866543048,2.8447370003746677,3.5599441306930104,0.08333333333333333,304.48056562076795
13,[Li]N1c2ccccc2N([Li])c2ccccc21,3.2354876820923173,3.4550446308513196,2.3419050601118534,0.08333333333333333,276.2149450317947
554,[Li]N1CCN([Li])c2c(C)cc(F)cc21,2.091081011213848,2.452024020949337,2.519491284136677,0.13043478260869565,301.07607396799534
490,[Li]N1CC(C)C(=O)N([Li])c2cccc(F)c21,2.020971162891346,1.7855506699002697,3.655327183757961,0.12,260.15339614757295
518,[Li]N1CC(C)C(C)N([Li])c2cccc(F)c21,1.8422422590305332,1.7553932037936284,2.747754814736385,0.10344827586206896,260.0978614834687
101,[Li]n1c(=O)n([Li])c2cc(F)ccc21,2.712067112964518,2.7196878526757207,4.218951841736693,0.1875,326.9089790547892
108,[Li]n1c(=S)n([Li])c2c(Cl)cccc21,2.73632382670258,2.5790722715963,4.460554441621824,0.0625,272.8064804119293
10,[Li]n1c(=S)n([Li])c2cc(Cl)ccc21,2.8846937143812776,2.558145615849425,4.418443310097299,0.0625,272.8064804119293
112,[Li]n1c(=O)n([Li])c2cc(O)ccc21,2.62645042223515,2.6330213789712946,4.078030370783463,0.11764705882352941,330.9266563650741
120,[Li]n1c(=S)n([Li])c2cc(F)ccc21,2.765055658517123,2.64134804559799,4.371525269988647,0.1875,297.73695233370233
121,[Li]n1c(=S)n([Li])c2c(F)cccc21,2.8040879475922753,2.4265296207988696,4.44531328962848,0.1875,297.73695233370233
135,[Li]n1c(=S)n([Li])c2c(OC)cccc21,2.7460814778391676,2.348981151785643,4.344218546146447,0.1,279.0820888875006
142,[Li]n1c(=S)n([Li])c2c(O)cccc21,2.761860478082295,2.3572353052406183,4.351010532466049,0.11764705882352941,301.0659293827243
150,[Li]n1ccc2ccc3ccn([Li])c3c21,2.688389753845081,2.409061803370913,3.7905247191275815,0.1,319.01121729391207
151,[2H]c1c([2H])c([2H])c2c(c1[2H])n([Li])c(=S)n2[Li],2.751658992981117,2.744813924532966,4.376507692645433,0.125,322.77104630541925
16,[Li]n1c(=S)n([Li])c2cc(C)c(C)cc21,3.082991772794115,2.474616406956259,4.266367851995197,0.09090909090909091,281.976747583766
174,[Li]n1c(=O)n([Li])c2c(O)c(O)ccc21,1.9697636233793374,2.3045366478876455,4.115062478881859,0.1111111111111111,301.18263340361966
187,[Li]n1c(=S)n([Li])c2c(F)cc(F)cc21,2.541619421189524,2.432754445865757,4.441777157328852,0.25,270.6920965762078
188,[Li]n1c(=S)n([Li])c2cc(F)c(C)cc21,2.735036466669313,2.2660593339171404,4.317894156863707,0.15789473684210525,276.2192144382788
192,[Li]n1c(=O)n([Li])c2cc(F)c(F)cc21,2.9340073352465836,2.597418722788639,4.214460586361186,0.25,294.5924428032745
193,[Li]n1c(=S)n([Li])c2cc(O)ccc21,2.7678815270441426,2.531414823898057,4.251458680104332,0.11764705882352941,301.0659293827243
1,[Li]n1c(=S)c(=S)n([Li])c2ccccc21,3.1768141021740055,3.030983703353712,3.774210074103383,0.1111111111111111,260.05874902309534
204,[Li]n1c(=O)n([Li])c2c(F)cc(F)cc21,2.4638354438650474,2.389141325552571,4.196582641601667,0.25,294.5924428032745
